filename,id,name,pos,season,total,average
thatnewnew,4692025,Brian Branch,dp,2024,1156.7852469850002,68.04619099911766
thatnewnew,3117256,Dalton Schultz,te,2023,774.5,51.63333333333333
thatnewnew,3117256,Dalton Schultz,te,2024,666.5075090339999,44.43383393559999
thatnewnew,3071353,E.J. Speed,dp,2023,1164.5,72.78125
thatnewnew,3071353,E.J. Speed,dp,2024,1402.01543278,82.47149604588236
thatnewnew,4362238,Chase Brown,rb,2023,314.8,26.233333333333334
thatnewnew,4362238,Chase Brown,rb,2024,1039.1366599839998,74.22404714171428
thatnewnew,-16012,Chiefs D/ST,def,2023,1864.0,109.6470588235294
thatnewnew,-16012,Chiefs D/ST,def,2024,1508.92070077,88.76004122176471
thatnewnew,3916433,Jakobi Meyers,wr,2023,996.4999999999999,62.28124999999999
thatnewnew,3916433,Jakobi Meyers,wr,2024,942.3873011000001,62.82582007333334
thatnewnew,4429096,Blake Corum,rb,2024,758.6070661469998,54.18621901049999
thatnewnew,-14020,Jets Coach,hc,2023,592.0,34.8235294117647
thatnewnew,-14020,Jets Coach,hc,2024,1229.0188647999998,72.29522734117646
thatnewnew,2612151,Alex Singleton,dp,2023,1513.5,89.02941176470588
thatnewnew,2612151,Alex Singleton,dp,2024,1308.6684029849998,76.98049429323528
thatnewnew,4372066,Jake Moody,k,2023,1278.0,75.17647058823529
thatnewnew,4372066,Jake Moody,k,2024,1168.96312777,68.76253692764706
thatnewnew,-16008,Lions D/ST,def,2023,1557.0,91.58823529411765
thatnewnew,-16008,Lions D/ST,def,2024,1548.8949642449998,91.11146848499999
thatnewnew,4429275,Trey Benson,rb,2024,744.4699822050001,53.17642730035715
thatnewnew,4570044,Jaquan Brisker,dp,2023,1043.0,69.53333333333333
thatnewnew,4570044,Jaquan Brisker,dp,2024,1135.64919324,66.80289372
thatnewnew,4575431,Devon Witherspoon,dp,2023,966.0,69.0
thatnewnew,4575431,Devon Witherspoon,dp,2024,1122.92705857,66.05453285705883
thatnewnew,4046537,Josh Metellus,dp,2023,1215.5,71.5
thatnewnew,4046537,Josh Metellus,dp,2024,1105.51831119,65.03048889352942
thatnewnew,3121427,Curtis Samuel,wr,2023,792.3,49.51875
thatnewnew,3121427,Curtis Samuel,wr,2024,837.7452557700001,55.84968371800001
thatnewnew,3919117,Azeez Al-Shaair,dp,2023,1337.0,78.6470588235294
thatnewnew,3919117,Azeez Al-Shaair,dp,2024,1310.3592835049997,77.07995785323527
thatnewnew,4362759,Nick Bolton,dp,2023,509.0,63.625
thatnewnew,4362759,Nick Bolton,dp,2024,1301.8149767950003,76.5773515761765
thatnewnew,4035495,Derrick Brown,dp,2023,1031.0,60.64705882352941
thatnewnew,4035495,Derrick Brown,dp,2024,793.53073653,46.67827861941176
thatnewnew,4243956,Reed Blankenship,dp,2023,1100.5,73.36666666666666
thatnewnew,4243956,Reed Blankenship,dp,2024,1116.7352346149999,65.6903079185294
thatnewnew,4040655,Darnell Mooney,wr,2023,450.0,30.0
thatnewnew,4040655,Darnell Mooney,wr,2024,883.9994688339999,58.93329792226666
